"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Alexander Calder","American",62,1934,1,5954,25," Academic Art "," Academic Art "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Alexander Calder","American",48,1936,3,5954,25," Academic Art "," Academic Art "
"Calder: 19 Gifts from the Artist","1967-02-01","1967-09-04","Alexander Calder","American",215,1967,3,5954,25," Academic Art "," Academic Art "
"Children's Holiday Carnival","1956-12-10","1957-01-13","Alexander Calder","American",34,1956,1,5954,25," Academic Art "," Academic Art "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Alexander Calder","American",189,1966,2,5954,25," Academic Art "," Academic Art "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Alexander Calder","American",161,1971,2,5954,25," Academic Art "," Academic Art "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Alexander Calder","American",143,1939,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture by Living Americans","1930-12-03","1931-01-20","Alexander Calder","American",48,1930,1,5954,25," Academic Art "," Academic Art "
"Mrs. Simon Guggenheim, 1877–1970: In Memoriam","1970-02-25","1970-03-17","Alexander Calder","American",20,1970,1,5954,25," Academic Art "," Academic Art "
"Sculptors' Drawings","1986-04-26","1986-09-02","Alexander Calder","American",129,1986,2,5954,25," Academic Art "," Academic Art "
"Five Sculptures from the Museum Collection","1968-01-08","1968-03-03","Alexander Calder","American",55,1968,3,5954,25," Academic Art "," Academic Art "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Alexander Calder","American",96,1969,2,5954,25," Academic Art "," Academic Art "
"Recent Acquisitions: Painting and Sculpture","1965-02-16","1965-04-25","Alexander Calder","American",68,1965,3,5954,25," Academic Art "," Academic Art "
"Selections from the Art Lending Service","1955-10-05","1955-10-24","Alexander Calder","American",19,1955,1,5954,25," Academic Art "," Academic Art "
"Surrealist Prints from the Collection of The Museum of Modern Art","1987-08-06","1987-12-08","Alexander Calder","American",124,1987,2,5954,25," Academic Art "," Academic Art "
"Abstractions","1988-11-17","1989-03-26","Alexander Calder","American",129,1988,1,5954,25," Academic Art "," Academic Art "
"International Sculpture Competition: The Unknown Political Prisoner","1953-01-27","1953-02-08","Alexander Calder","American",12,1953,2,5954,25," Academic Art "," Academic Art "
"Contemporary Works from the Collection","1985-11-21","1986-04-01","Alexander Calder","American",131,1985,2,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1940-10-23","1941-01-12","Alexander Calder","American",81,1940,2,5954,25," Academic Art "," Academic Art "
"New Acquisitions: American Painting and Sculpture","1941-03-10","1941-05-03","Alexander Calder","American",54,1941,3,5954,25," Academic Art "," Academic Art "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Alexander Calder","American",60,1942,2,5954,25," Academic Art "," Academic Art "
"Abstract Painting and Sculpture in America","1951-01-23","1951-03-25","Alexander Calder","American",61,1951,1,5954,25," Academic Art "," Academic Art "
"Timeless Aspects of Modern Art","1948-11-16","1949-01-23","Alexander Calder","American",68,1948,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture in Architecture","1949-08-03","1949-10-02","Alexander Calder","American",60,1949,2,5954,25," Academic Art "," Academic Art "
"Posters by Painters and Sculptors","1952-03-04","1952-05-11","Alexander Calder","American",68,1952,2,5954,25," Academic Art "," Academic Art "
"Recent Sculpture U.S.A.","1959-05-13","1959-08-16","Alexander Calder","American",95,1959,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Alexander Calder","American",NA,1964,1,5954,25," Academic Art "," Academic Art "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Alexander Calder","American",NA,1984,1,5954,25," Academic Art "," Academic Art "
"Children's Holiday Carnival","1957-12-09","1958-01-12","Alexander Calder","American",34,1957,1,5954,25," Academic Art "," Academic Art "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Alexander Calder","American",31,1961,1,5954,25," Academic Art "," Academic Art "
"Recent Acquisitions, 1968–1973","1973-06-15","1973-09-25","Alexander Calder","American",102,1973,1,5954,25," Academic Art "," Academic Art "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Alexander Calder","American",87,1974,2,5954,25," Academic Art "," Academic Art "
"Prints by Sculptors","1975-05-21","1975-09-01","Alexander Calder","American",103,1975,2,5954,25," Academic Art "," Academic Art "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Alexander Calder","American",86,1976,3,5954,25," Academic Art "," Academic Art "
"Posters by Painters","1977-01-21","1977-03-23","Alexander Calder","American",61,1977,2,5954,25," Academic Art "," Academic Art "
"Thirty Sculptors' Drawings","1979-05-18","1979-06-06","Alexander Calder","American",19,1979,3,5954,25," Academic Art "," Academic Art "
"The Museum Collection of Sculpture","1946-02-19","1946-05-05","Alexander Calder","American",75,1946,4,5954,25," Academic Art "," Academic Art "
"Alexander Calder","1943-09-29","1944-01-16","Alexander Calder","American",109,1943,1,5954,25," Academic Art "," Academic Art "
"Modern Drawings","1944-02-16","1944-05-10","Alexander Calder","American",84,1944,3,5954,25," Academic Art "," Academic Art "
"Recent Acquisitions","1945-02-15","1945-03-18","Alexander Calder","American",31,1945,3,5954,25," Academic Art "," Academic Art "
"Art Lending Service Retrospective","1960-01-27","1960-03-20","Alexander Calder","American",53,1960,2,5954,25," Academic Art "," Academic Art "
"Drawings: Recent Acquisitions","1967-06-26","1967-11-22","Amedeo Modigliani","Italian",149,1967,1,5731,28," Expressionism "," Expressionism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Amedeo Modigliani","Italian",161,1971,2,5731,28," Expressionism "," Expressionism "
"European Drawing Between the Wars","1987-10-24","1988-03-01","Amedeo Modigliani","Italian",129,1987,1,5731,28," Expressionism "," Expressionism "
"Timeless Aspects of Modern Art","1948-11-16","1949-01-23","Amedeo Modigliani","Italian",68,1948,1,5731,28," Expressionism "," Expressionism "
"Thirty Sculptors' Drawings","1979-05-18","1979-06-06","Amedeo Modigliani","Italian",19,1979,2,5731,28," Expressionism "," Expressionism "
"Sculptors' Drawings","1986-04-26","1986-09-02","Amedeo Modigliani","Italian",129,1986,1,5731,28," Expressionism "," Expressionism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Amedeo Modigliani","Italian",96,1969,1,5731,28," Expressionism "," Expressionism "
"John S. Newberry: A Memorial Exhibition","1965-04-13","1965-07-14","Amedeo Modigliani","Italian",92,1965,2,5731,28," Expressionism "," Expressionism "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","Amedeo Modigliani","Italian",145,1932,2,5731,28," Expressionism "," Expressionism "
"Words and Pictures","1981-08-20","1981-10-06","Amedeo Modigliani","Italian",47,1981,1,5731,28," Expressionism "," Expressionism "
"Drawings by Sculptors: A Selection from the Collection","1968-10-21","1969-02-02","Amedeo Modigliani","Italian",104,1968,1,5731,28," Expressionism "," Expressionism "
"The Nude: Thirty 20th-Century Drawings","1970-11-10","1971-04-21","Amedeo Modigliani","Italian",162,1970,1,5731,28," Expressionism "," Expressionism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Amedeo Modigliani","Italian",33,1936,2,5731,28," Expressionism "," Expressionism "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Amedeo Modigliani","Italian",82,1933,3,5731,28," Expressionism "," Expressionism "
"The Lillie P. Bliss Collection, 1934","1934-05-14","1934-09-12","Amedeo Modigliani","Italian",121,1934,2,5731,28," Expressionism "," Expressionism "
"Memorial Exhibition: The Collection of the Late Lillie P. Bliss","1931-05-17","1931-10-06","Amedeo Modigliani","Italian",142,1931,1,5731,28," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Amedeo Modigliani","Italian",NA,1964,2,5731,28," Expressionism "," Expressionism "
"Modern Drawings","1944-02-16","1944-05-10","Amedeo Modigliani","Italian",84,1944,2,5731,28," Expressionism "," Expressionism "
"The Museum Collection of Painting and Sculpture","1945-06-20","1946-02-13","Amedeo Modigliani","Italian",238,1945,1,5731,28," Expressionism "," Expressionism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Amedeo Modigliani","Italian",112,1935,1,5731,28," Expressionism "," Expressionism "
"Recent Acquisitions","1950-03-28","1950-05-07","Amedeo Modigliani","Italian",40,1950,2,5731,28," Expressionism "," Expressionism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Amedeo Modigliani","Italian",75,1946,2,5731,28," Expressionism "," Expressionism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Amedeo Modigliani","Italian",47,1947,1,5731,28," Expressionism "," Expressionism "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Amedeo Modigliani","Italian",69,1983,1,5731,28," Expressionism "," Expressionism "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","Amedeo Modigliani","Italian",137,1960,3,5731,28," Expressionism "," Expressionism "
"Modigliani","1951-04-10","1951-06-10","Amedeo Modigliani","Italian",61,1951,2,5731,28," Expressionism "," Expressionism "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Amedeo Modigliani","Italian",54,1952,1,5731,28," Expressionism "," Expressionism "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","Amedeo Modigliani","Italian",30,1949,2,5731,28," Expressionism "," Expressionism "
"In the Twenties","1975-03-21","1975-06-15","Amedeo Modigliani","Italian",86,1975,2,5731,28," Expressionism "," Expressionism "
"Fifty Drawings: Recent Acquisitions","1962-04-10","1962-08-12","Amedeo Modigliani","Italian",124,1962,1,5731,28," Expressionism "," Expressionism "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Amedeo Modigliani","Italian",67,1978,2,5731,28," Expressionism "," Expressionism "
"Recent Acquisitions: Painting and Sculpture","1942-09-30","1942-12-10","Amedeo Modigliani","Italian",71,1942,3,5731,28," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection: New Acquisitions","1955-03-05","1955-04-24","Amedeo Modigliani","Italian",50,1955,1,5731,28," Expressionism "," Expressionism "
"Philadelphia in New York: 90 Modern Works from the Philadelphia Museum of Art","1972-10-18","1973-01-07","Amedeo Modigliani","Italian",81,1972,1,5731,28," Expressionism "," Expressionism "
"Portraits","1973-12-27","1974-02-24","Amedeo Modigliani","Italian",59,1973,1,5731,28," Expressionism "," Expressionism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Amedeo Modigliani","Italian",87,1974,1,5731,28," Expressionism "," Expressionism "
"Faces and Figures: Drawings from the Collection of The Museum of Modern Art","1954-04-21","1954-06-06","Amedeo Modigliani","Italian",46,1954,2,5731,28," Expressionism "," Expressionism "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Amedeo Modigliani","Italian",86,1976,2,5731,28," Expressionism "," Expressionism "
"Extraordinary Men","1977-06-02","1977-07-17","Amedeo Modigliani","Italian",45,1977,1,5731,28," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Amedeo Modigliani","Italian",6,1941,2,5731,28," Expressionism "," Expressionism "
"Transitions and Contrasts in Painting and Sculpture","1937-12-01","1938-01-07","Amedeo Modigliani","Italian",37,1937,1,5731,28," Expressionism "," Expressionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Amedeo Modigliani","Italian",143,1939,1,5731,28," Expressionism "," Expressionism "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","Amedeo Modigliani","Italian",51,1940,5,5731,28," Expressionism "," Expressionism "
"Edward G. Robinson Collection","1953-03-03","1953-04-12","Amedeo Modigliani","Italian",40,1953,2,5731,28," Expressionism "," Expressionism "
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Ben Shahn","American",62,1934,1,6045,21," Social Realism "," Social Realism "
"Recent Acquisitions","1950-01-31","1950-05-07","Ben Shahn","American",96,1950,3,6045,21," Social Realism "," Social Realism "
"Posters by Painters and Sculptors","1952-03-04","1952-05-11","Ben Shahn","American",68,1952,5,6045,21," Social Realism "," Social Realism "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","Ben Shahn","American",103,1953,1,6045,21," Social Realism "," Social Realism "
"The Family of Man","1955-01-24","1955-05-08","Ben Shahn","American",104,1955,3,6045,21," Social Realism "," Social Realism "
"Greetings!","1966-03-01","1966-05-08","Ben Shahn","American",68,1966,2,6045,21," Social Realism "," Social Realism "
"Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","1968-01-25","1968-03-10","Ben Shahn","American",45,1968,1,6045,21," Social Realism "," Social Realism "
"Four American Graphic Designers","1954-02-09","1954-04-04","Ben Shahn","American",54,1954,3,6045,21," Social Realism "," Social Realism "
