"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Edward Hopper","American",NA,1964,1,4669,46," Folk Art "," Folk Art "
"Around the Automobile","1965-12-09","1966-03-21","Edward Hopper","American",102,1965,1,4669,46," Folk Art "," Folk Art "
"American Prints: 1900–1960; Recent Acquisitions: Illustrated Books","1985-12-18","1986-05-20","Edward Hopper","American",153,1985,1,4669,46," Folk Art "," Folk Art "
"New Acquisitions: American Painting and Sculpture","1941-03-10","1941-05-03","Edward Hopper","American",54,1941,3,4669,46," Folk Art "," Folk Art "
"Three Centuries of American Art","1938-05-24","1938-07-31","Edward Hopper","American",68,1938,1,4669,46," Folk Art "," Folk Art "
"The Artists' New York","1942-01-28","1942-03-02","Edward Hopper","American",33,1942,1,4669,46," Folk Art "," Folk Art "
"Selections from the Permanent Collection: Prints and Illustrated Books","1984-05-17",NA,"Edward Hopper","American",NA,1984,1,4669,46," Folk Art "," Folk Art "
"Twentieth Century Portraits","1942-12-09","1943-01-24","Ernst Ludwig Kirchner","German",46,1942,2,6244,17," Expressionism "," Expressionism "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Ernst Ludwig Kirchner","German",110,1954,2,6244,17," Expressionism "," Expressionism "
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss","1958-04-23","1958-05-18","Ernst Ludwig Kirchner","German",25,1958,3,6244,17," Expressionism "," Expressionism "
"Prints from Europe and Japan; Etchings by Matisse","1955-05-04","1955-05-31","Ernst Ludwig Kirchner","German",27,1955,2,6244,17," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1940-10-23","1941-01-12","Ernst Ludwig Kirchner","German",81,1940,1,6244,17," Expressionism "," Expressionism "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","Ernst Ludwig Kirchner","German",103,1953,1,6244,17," Expressionism "," Expressionism "
"Permanent Collection","1972-03-29",NA,"Ernst Ludwig Kirchner","German",NA,1972,3,6244,17," Expressionism "," Expressionism "
"Recent European Acquisitions","1956-11-28","1957-01-20","Ernst Ludwig Kirchner","German",53,1956,1,6244,17," Expressionism "," Expressionism "
"German Art of the 20th Century","1957-10-02","1957-12-01","Ernst Ludwig Kirchner","German",60,1957,2,6244,17," Expressionism "," Expressionism "
"Points of View","1975-03-07","1975-06-08","Ernst Ludwig Kirchner","German",93,1975,2,6244,17," Expressionism "," Expressionism "
"The ""Wild Beasts"": Fauvism and Its Affinities","1976-03-26","1976-06-01","Ernst Ludwig Kirchner","German",67,1976,2,6244,17," Expressionism "," Expressionism "
"Works on Paper","1973-03-07","1973-06-04","Ernst Ludwig Kirchner","German",89,1973,3,6244,17," Expressionism "," Expressionism "
"German Drawing: The Expressionists","1974-08-30","1974-11-10","Ernst Ludwig Kirchner","German",72,1974,1,6244,17," Expressionism "," Expressionism "
"Reinstallation of the Collection","1980-10-23",NA,"Ernst Ludwig Kirchner","German",NA,1980,2,6244,17," Expressionism "," Expressionism "
"The Nude: Thirty 20th-Century Drawings","1970-11-10","1971-04-21","Ernst Ludwig Kirchner","German",162,1970,1,6244,17," Expressionism "," Expressionism "
"Drawings Acquisitions","1987-01-24","1987-06-14","Ernst Ludwig Kirchner","German",141,1987,2,6244,17," Expressionism "," Expressionism "
"Art of the Twenties","1979-11-14","1980-01-22","Ernst Ludwig Kirchner","German",69,1979,1,6244,17," Expressionism "," Expressionism "
"Recent Acquisitions","1951-02-13","1951-05-13","Ernst Ludwig Kirchner","German",89,1951,1,6244,17," Expressionism "," Expressionism "
"Modern Drawings","1944-02-16","1944-05-10","Ernst Ludwig Kirchner","German",84,1944,3,6244,17," Expressionism "," Expressionism "
"The Museum Collection of Painting and Sculpture","1945-06-20","1946-02-13","Ernst Ludwig Kirchner","German",238,1945,1,6244,17," Expressionism "," Expressionism "
"Recent Acquisitions","1988-11-24","1989-01-10","Ernst Ludwig Kirchner","German",47,1988,1,6244,17," Expressionism "," Expressionism "
"Master Prints from the Collection","1989-04-06","1989-08-08","Ernst Ludwig Kirchner","German",124,1989,2,6244,17," Expressionism "," Expressionism "
"Portraits in Prints","1948-06-01","1948-09-06","Ernst Ludwig Kirchner","German",97,1948,1,6244,17," Expressionism "," Expressionism "
"Masterpieces from the Collection","1982-03-08","1983-03-01","Ernst Ludwig Kirchner","German",358,1982,1,6244,17," Expressionism "," Expressionism "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Ernst Ludwig Kirchner","German",67,1978,2,6244,17," Expressionism "," Expressionism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Ernst Ludwig Kirchner","German",47,1947,1,6244,17," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1969-11-05",NA,"Ernst Ludwig Kirchner","German",NA,1969,2,6244,17," Expressionism "," Expressionism "
"Cézanne to Miró","1968-04-23","1968-04-25","Ernst Ludwig Kirchner","German",2,1968,1,6244,17," Expressionism "," Expressionism "
"Naked/Nude","1986-05-29","1986-09-30","Ernst Ludwig Kirchner","German",124,1986,1,6244,17," Expressionism "," Expressionism "
"German Painting and Sculpture","1931-03-12","1931-04-22","Ernst Ludwig Kirchner","German",41,1931,1,6244,17," Expressionism "," Expressionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Ernst Ludwig Kirchner","German",143,1939,1,6244,17," Expressionism "," Expressionism "
"Fifty Drawings: Recent Acquisitions","1962-04-10","1962-08-12","Ernst Ludwig Kirchner","German",124,1962,1,6244,17," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Ernst Ludwig Kirchner","German",NA,1964,2,6244,17," Expressionism "," Expressionism "
"44 Drawings: Recent Acquisitions","1965-09-06","1966-01-23","Ernst Ludwig Kirchner","German",139,1965,1,6244,17," Expressionism "," Expressionism "
"Art Nouveau","1960-06-08","1960-09-06","Ernst Ludwig Kirchner","German",90,1960,2,6244,17," Expressionism "," Expressionism "
"The Artist as His Subject","1967-04-28","1967-04-30","Ernst Ludwig Kirchner","German",2,1967,3,6244,17," Expressionism "," Expressionism "
"The Expressionist Idiom","1985-05-06","1985-12-18","Ernst Ludwig Kirchner","German",226,1985,2,6244,17," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1950-08-29","1950-10-15","Ernst Ludwig Kirchner","German",47,1950,1,6244,17," Expressionism "," Expressionism "
"Paul J. Sachs Gallery Print Re-installation","1966-03-03",NA,"Ernst Ludwig Kirchner","German",NA,1966,3,6244,17," Expressionism "," Expressionism "
"Recent Acquisitions in Painting and Sculpture","1946-02-06","1946-02-24","Ernst Ludwig Kirchner","German",18,1946,3,6244,17," Expressionism "," Expressionism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Ernst Ludwig Kirchner","German",NA,1984,2,6244,17," Expressionism "," Expressionism "
"Master Prints from the Museum Collection","1949-05-10","1949-07-10","Ernst Ludwig Kirchner","German",61,1949,2,6244,17," Expressionism "," Expressionism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Ernst Ludwig Kirchner","German",73,1983,1,6244,17," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Frank Stella","American",NA,1964,1,4858,44," Minimalism "," Minimalism "
"Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","1968-01-25","1968-03-10","Frank Stella","American",45,1968,2,4858,44," Minimalism "," Minimalism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Frank Stella","American",96,1969,2,4858,44," Minimalism "," Minimalism "
"Printed Art: A View of Two Decades","1980-02-13","1980-04-01","Frank Stella","American",48,1980,3,4858,44," Minimalism "," Minimalism "
"The 1960s: Painting and Sculpture from the Museum Collection","1967-06-28","1967-09-24","Frank Stella","American",88,1967,1,4858,44," Minimalism "," Minimalism "
"Art for Corporations","1978-04-17","1978-07-04","Frank Stella","American",78,1978,3,4858,44," Minimalism "," Minimalism "
"Recent Acquisitions","1960-12-21","1961-02-05","Frank Stella","American",46,1960,1,4858,44," Minimalism "," Minimalism "
"Reinstallation of the Contemporary Galleries","1985-02-15","1985-03-17","Frank Stella","American",30,1985,6,4858,44," Minimalism "," Minimalism "
"The Responsive Eye","1965-02-25","1965-04-25","Frank Stella","American",59,1965,1,4858,44," Minimalism "," Minimalism "
"Some Contemporary Prints","1983-07-21","1983-09-13","Frank Stella","American",54,1983,1,4858,44," Minimalism "," Minimalism "
"The Stage Show","1979-03-05","1979-05-29","Frank Stella","American",85,1979,2,4858,44," Minimalism "," Minimalism "
"Printsequence","1975-10-03","1976-01-18","Frank Stella","American",107,1975,1,4858,44," Minimalism "," Minimalism "
"Drawing Now: 1955–1975","1976-01-23","1976-03-09","Frank Stella","American",46,1976,2,4858,44," Minimalism "," Minimalism "
"New Art for the New Year","1977-02-13","1978-04-09","Frank Stella","American",420,1977,1,4858,44," Minimalism "," Minimalism "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Frank Stella","American",NA,1984,2,4858,44," Minimalism "," Minimalism "
"16 Americans","1959-12-16","1960-02-17","Frank Stella","American",63,1959,1,4858,44," Minimalism "," Minimalism "
"Frank Stella","1970-03-24","1970-06-02","Frank Stella","American",70,1970,1,4858,44," Minimalism "," Minimalism "
"Masterpieces from the Collection","1982-03-08","1983-03-01","Frank Stella","American",358,1982,2,4858,44," Minimalism "," Minimalism "
"Contemporary Works from the Collection","1989-06-24","1990-03-18","Frank Stella","American",267,1989,1,4858,44," Minimalism "," Minimalism "
"Permanent Collection","1972-03-29",NA,"Frank Stella","American",NA,1972,1,4858,44," Minimalism "," Minimalism "
"Works from Change, Inc.","1974-09-25","1974-10-20","Frank Stella","American",25,1974,1,4858,44," Minimalism "," Minimalism "
"Technics and Creativity: Selections from Gemini G.E.L.","1971-05-05","1971-07-06","Frank Stella","American",62,1971,2,4858,44," Minimalism "," Minimalism "
"Prints of the Sixties","1973-03-22","1973-05-09","Frank Stella","American",48,1973,2,4858,44," Minimalism "," Minimalism "
"Committed to Print","1988-01-31","1988-04-19","Frank Stella","American",79,1988,3,4858,44," Minimalism "," Minimalism "
"Reinstallation of the Painting and Sculpture Collection","1987-04-25","1987-06-13","Frank Stella","American",49,1987,5,4858,44," Minimalism "," Minimalism "
"Recent Acquisitions: Contemporary Prints","1986-02-07","1986-07-08","Frank Stella","American",151,1986,3,4858,44," Minimalism "," Minimalism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","George Grosz","American",134,1937,1,5891,26," Expressionism "," Expressionism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","George Grosz","American",134,1937,1,5891,26," Dada "," Dada "
"Three Centuries of American Art","1938-05-24","1938-07-31","George Grosz","American",68,1938,1,5891,26," Expressionism "," Expressionism "
"Three Centuries of American Art","1938-05-24","1938-07-31","George Grosz","American",68,1938,1,5891,26," Dada "," Dada "
"George Grosz","1941-10-08","1941-11-02","George Grosz","American",25,1941,1,5891,26," Expressionism "," Expressionism "
"George Grosz","1941-10-08","1941-11-02","George Grosz","American",25,1941,1,5891,26," Dada "," Dada "
"The Artists' New York","1942-01-28","1942-03-02","George Grosz","American",33,1942,2,5891,26," Expressionism "," Expressionism "
"The Artists' New York","1942-01-28","1942-03-02","George Grosz","American",33,1942,2,5891,26," Dada "," Dada "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","George Grosz","American",143,1939,1,5891,26," Expressionism "," Expressionism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","George Grosz","American",143,1939,1,5891,26," Dada "," Dada "
"Faces and Figures: Drawings from the Collection of The Museum of Modern Art","1954-04-21","1954-06-06","George Grosz","American",46,1954,2,5891,26," Expressionism "," Expressionism "
"Faces and Figures: Drawings from the Collection of The Museum of Modern Art","1954-04-21","1954-06-06","George Grosz","American",46,1954,2,5891,26," Dada "," Dada "
"Recent Acquisitions","1950-01-31","1950-05-07","George Grosz","American",96,1950,2,5891,26," Expressionism "," Expressionism "
"Recent Acquisitions","1950-01-31","1950-05-07","George Grosz","American",96,1950,2,5891,26," Dada "," Dada "
"Gallery Expansion and New Acquisitions","1952-12-23",NA,"George Grosz","American",NA,1952,1,5891,26," Expressionism "," Expressionism "
"Gallery Expansion and New Acquisitions","1952-12-23",NA,"George Grosz","American",NA,1952,1,5891,26," Dada "," Dada "
"Modern Drawings","1944-02-16","1944-05-10","George Grosz","American",84,1944,2,5891,26," Expressionism "," Expressionism "
"Modern Drawings","1944-02-16","1944-05-10","George Grosz","American",84,1944,2,5891,26," Dada "," Dada "
"German Art of the 20th Century","1957-10-02","1957-12-01","George Grosz","American",60,1957,1,5891,26," Expressionism "," Expressionism "
"German Art of the 20th Century","1957-10-02","1957-12-01","George Grosz","American",60,1957,1,5891,26," Dada "," Dada "
"Drawings, Watercolors, Collages: New Acquisitions","1959-07-15","1959-10-15","George Grosz","American",92,1959,1,5891,26," Expressionism "," Expressionism "
"Drawings, Watercolors, Collages: New Acquisitions","1959-07-15","1959-10-15","George Grosz","American",92,1959,1,5891,26," Dada "," Dada "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","George Grosz","American",103,1953,1,5891,26," Expressionism "," Expressionism "
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism","1953-06-23","1953-10-04","George Grosz","American",103,1953,1,5891,26," Dada "," Dada "
"New Acquisitions","1948-01-13","1948-03-21","George Grosz","American",68,1948,3,5891,26," Expressionism "," Expressionism "
"New Acquisitions","1948-01-13","1948-03-21","George Grosz","American",68,1948,3,5891,26," Dada "," Dada "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","George Grosz","American",30,1949,2,5891,26," Expressionism "," Expressionism "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","George Grosz","American",30,1949,2,5891,26," Dada "," Dada "
"Drawn in America","1972-03-01","1972-05-29","George Grosz","American",89,1972,2,5891,26," Expressionism "," Expressionism "
"Drawn in America","1972-03-01","1972-05-29","George Grosz","American",89,1972,2,5891,26," Dada "," Dada "
"Romantic Painting in America","1943-11-17","1944-02-06","George Grosz","American",81,1943,1,5891,26," Expressionism "," Expressionism "
"Romantic Painting in America","1943-11-17","1944-02-06","George Grosz","American",81,1943,1,5891,26," Dada "," Dada "
"German Drawing: The Expressionists","1974-08-30","1974-11-10","George Grosz","American",72,1974,1,5891,26," Expressionism "," Expressionism "
"German Drawing: The Expressionists","1974-08-30","1974-11-10","George Grosz","American",72,1974,1,5891,26," Dada "," Dada "
"Points of View","1975-03-07","1975-06-08","George Grosz","American",93,1975,3,5891,26," Expressionism "," Expressionism "
"Points of View","1975-03-07","1975-06-08","George Grosz","American",93,1975,3,5891,26," Dada "," Dada "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","George Grosz","American",86,1976,1,5891,26," Expressionism "," Expressionism "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","George Grosz","American",86,1976,1,5891,26," Dada "," Dada "
"Works on Paper","1973-03-07","1973-06-04","George Grosz","American",89,1973,4,5891,26," Expressionism "," Expressionism "
"Works on Paper","1973-03-07","1973-06-04","George Grosz","American",89,1973,4,5891,26," Dada "," Dada "
"Art of the Twenties","1979-11-14","1980-01-22","George Grosz","American",69,1979,1,5891,26," Expressionism "," Expressionism "
"Art of the Twenties","1979-11-14","1980-01-22","George Grosz","American",69,1979,1,5891,26," Dada "," Dada "
"Words and Pictures","1981-08-20","1981-10-06","George Grosz","American",47,1981,1,5891,26," Expressionism "," Expressionism "
"Words and Pictures","1981-08-20","1981-10-06","George Grosz","American",47,1981,1,5891,26," Dada "," Dada "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","George Grosz","American",15,1982,1,5891,26," Expressionism "," Expressionism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","George Grosz","American",15,1982,1,5891,26," Dada "," Dada "
"Artists and Writers","1978-07-10","1978-10-03","George Grosz","American",85,1978,1,5891,26," Expressionism "," Expressionism "
"Artists and Writers","1978-07-10","1978-10-03","George Grosz","American",85,1978,1,5891,26," Dada "," Dada "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","George Grosz","American",47,1947,1,5891,26," Expressionism "," Expressionism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","George Grosz","American",47,1947,1,5891,26," Dada "," Dada "
"George Grosz: Watercolors and Drawings","1969-10-01","1969-11-16","George Grosz","American",46,1969,2,5891,26," Expressionism "," Expressionism "
"George Grosz: Watercolors and Drawings","1969-10-01","1969-11-16","George Grosz","American",46,1969,2,5891,26," Dada "," Dada "
"The Artist as Adversary","1971-07-01","1971-09-27","George Grosz","American",88,1971,1,5891,26," Expressionism "," Expressionism "
"The Artist as Adversary","1971-07-01","1971-09-27","George Grosz","American",88,1971,1,5891,26," Dada "," Dada "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","George Grosz","American",117,1988,1,5891,26," Expressionism "," Expressionism "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","George Grosz","American",117,1988,1,5891,26," Dada "," Dada "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","George Grosz","American",110,1989,3,5891,26," Expressionism "," Expressionism "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","George Grosz","American",110,1989,3,5891,26," Dada "," Dada "
"Fantastic Art, Dada, Surrealism","1936-12-07","1937-01-17","George Grosz","American",41,1936,1,5891,26," Expressionism "," Expressionism "
"Fantastic Art, Dada, Surrealism","1936-12-07","1937-01-17","George Grosz","American",41,1936,1,5891,26," Dada "," Dada "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","George Grosz","American",137,1960,2,5891,26," Expressionism "," Expressionism "
"Portraits from the Museum Collection","1960-05-04","1960-09-18","George Grosz","American",137,1960,2,5891,26," Dada "," Dada "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","George Grosz","American",51,1940,1,5891,26," Expressionism "," Expressionism "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","George Grosz","American",51,1940,1,5891,26," Dada "," Dada "
"Recent Acquisitions","1962-11-20","1963-01-13","George Grosz","American",54,1962,1,5891,26," Expressionism "," Expressionism "
"Recent Acquisitions","1962-11-20","1963-01-13","George Grosz","American",54,1962,1,5891,26," Dada "," Dada "
"Paintings, Sculpture, and Graphic Arts from the Museum Collection","1946-07-02",NA,"George Grosz","American",NA,1946,3,5891,26," Expressionism "," Expressionism "
"Paintings, Sculpture, and Graphic Arts from the Museum Collection","1946-07-02",NA,"George Grosz","American",NA,1946,3,5891,26," Dada "," Dada "
"John S. Newberry: A Memorial Exhibition","1965-04-13","1965-07-14","George Grosz","American",92,1965,2,5891,26," Expressionism "," Expressionism "
"John S. Newberry: A Memorial Exhibition","1965-04-13","1965-07-14","George Grosz","American",92,1965,2,5891,26," Dada "," Dada "
"America Seen: Between The Wars","1961-04-25","1961-08-07","George Grosz","American",104,1961,2,5891,26," Expressionism "," Expressionism "
"America Seen: Between The Wars","1961-04-25","1961-08-07","George Grosz","American",104,1961,2,5891,26," Dada "," Dada "
"Manhattan Observed","1968-03-22","1968-07-01","George Grosz","American",101,1968,3,5891,26," Expressionism "," Expressionism "
"Manhattan Observed","1968-03-22","1968-07-01","George Grosz","American",101,1968,3,5891,26," Dada "," Dada "
"German Painting and Sculpture","1931-03-12","1931-04-22","George Grosz","American",41,1931,1,5891,26," Expressionism "," Expressionism "
"German Painting and Sculpture","1931-03-12","1931-04-22","George Grosz","American",41,1931,1,5891,26," Dada "," Dada "
"New Acquisitions: Lachaise Torso; Prints","1934-07-11","1934-09-13","George Grosz","American",64,1934,2,5891,26," Expressionism "," Expressionism "
"New Acquisitions: Lachaise Torso; Prints","1934-07-11","1934-09-13","George Grosz","American",64,1934,2,5891,26," Dada "," Dada "
"Recent Acquisitions: Painting and Sculpture","1966-04-06","1966-06-12","George Grosz","American",67,1966,3,5891,26," Expressionism "," Expressionism "
"Recent Acquisitions: Painting and Sculpture","1966-04-06","1966-06-12","George Grosz","American",67,1966,3,5891,26," Dada "," Dada "
"The Expressionist Idiom","1985-05-06","1985-12-18","George Grosz","American",226,1985,2,5891,26," Expressionism "," Expressionism "
"The Expressionist Idiom","1985-05-06","1985-12-18","George Grosz","American",226,1985,2,5891,26," Dada "," Dada "
"European Drawing Between the Wars","1987-10-24","1988-03-01","George Grosz","American",129,1987,2,5891,26," Expressionism "," Expressionism "
"European Drawing Between the Wars","1987-10-24","1988-03-01","George Grosz","American",129,1987,2,5891,26," Dada "," Dada "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"George Grosz","American",NA,1964,2,5891,26," Expressionism "," Expressionism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"George Grosz","American",NA,1964,2,5891,26," Dada "," Dada "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"George Grosz","American",NA,1984,2,5891,26," Expressionism "," Expressionism "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"George Grosz","American",NA,1984,2,5891,26," Dada "," Dada "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","George Grosz","American",69,1983,1,5891,26," Expressionism "," Expressionism "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","George Grosz","American",69,1983,1,5891,26," Dada "," Dada "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Georges Braque","French",112,1935,1,7367,8," Fauvism "," Fauvism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Georges Braque","French",112,1935,1,7367,8," Cubism "," Cubism "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Georges Braque","French",48,1936,3,7367,8," Fauvism "," Fauvism "
"Cubism and Abstract Art","1936-03-02","1936-04-19","Georges Braque","French",48,1936,3,7367,8," Cubism "," Cubism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Georges Braque","French",73,1983,2,7367,8," Fauvism "," Fauvism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Georges Braque","French",73,1983,2,7367,8," Cubism "," Cubism "
"Three Modern Styles","1950-07-11","1950-09-05","Georges Braque","French",56,1950,1,7367,8," Fauvism "," Fauvism "
"Three Modern Styles","1950-07-11","1950-09-05","Georges Braque","French",56,1950,1,7367,8," Cubism "," Cubism "
"Selections from 5 New York Private Collections","1951-06-26","1951-09-09","Georges Braque","French",75,1951,1,7367,8," Fauvism "," Fauvism "
"Selections from 5 New York Private Collections","1951-06-26","1951-09-09","Georges Braque","French",75,1951,1,7367,8," Cubism "," Cubism "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Georges Braque","French",54,1952,4,7367,8," Fauvism "," Fauvism "
"Masterworks Acquired through the Mrs. Simon Guggenheim Fund","1952-01-29","1952-03-23","Georges Braque","French",54,1952,4,7367,8," Cubism "," Cubism "
"Georges Braque","1949-03-29","1949-06-12","Georges Braque","French",75,1949,3,7367,8," Fauvism "," Fauvism "
"Georges Braque","1949-03-29","1949-06-12","Georges Braque","French",75,1949,3,7367,8," Cubism "," Cubism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Georges Braque","French",143,1939,1,7367,8," Fauvism "," Fauvism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Georges Braque","French",143,1939,1,7367,8," Cubism "," Cubism "
"Modern Masters from European and American Collections","1940-01-26","1940-03-24","Georges Braque","French",58,1940,2,7367,8," Fauvism "," Fauvism "
"Modern Masters from European and American Collections","1940-01-26","1940-03-24","Georges Braque","French",58,1940,2,7367,8," Cubism "," Cubism "
"World of Illusion: Elements of Stage Design","1947-10-14","1948-01-04","Georges Braque","French",82,1947,1,7367,8," Fauvism "," Fauvism "
"World of Illusion: Elements of Stage Design","1947-10-14","1948-01-04","Georges Braque","French",82,1947,1,7367,8," Cubism "," Cubism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","Georges Braque","French",134,1937,1,7367,8," Fauvism "," Fauvism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","Georges Braque","French",134,1937,1,7367,8," Cubism "," Cubism "
"Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","1968-01-25","1968-03-10","Georges Braque","French",45,1968,1,7367,8," Fauvism "," Fauvism "
"Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","1968-01-25","1968-03-10","Georges Braque","French",45,1968,1,7367,8," Cubism "," Cubism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Georges Braque","French",96,1969,2,7367,8," Fauvism "," Fauvism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Georges Braque","French",96,1969,2,7367,8," Cubism "," Cubism "
"Recent Acquisitions V","1970-06-05","1970-09-13","Georges Braque","French",100,1970,2,7367,8," Fauvism "," Fauvism "
"Recent Acquisitions V","1970-06-05","1970-09-13","Georges Braque","French",100,1970,2,7367,8," Cubism "," Cubism "
"New Acquisitions","1948-01-13","1948-03-21","Georges Braque","French",68,1948,4,7367,8," Fauvism "," Fauvism "
"New Acquisitions","1948-01-13","1948-03-21","Georges Braque","French",68,1948,4,7367,8," Cubism "," Cubism "
"Prints for Collectors","1972-06-26","1972-09-15","Georges Braque","French",81,1972,2,7367,8," Fauvism "," Fauvism "
"Prints for Collectors","1972-06-26","1972-09-15","Georges Braque","French",81,1972,2,7367,8," Cubism "," Cubism "
"Works on Paper","1973-03-07","1973-06-04","Georges Braque","French",89,1973,2,7367,8," Fauvism "," Fauvism "
"Works on Paper","1973-03-07","1973-06-04","Georges Braque","French",89,1973,2,7367,8," Cubism "," Cubism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Georges Braque","French",87,1974,2,7367,8," Fauvism "," Fauvism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Georges Braque","French",87,1974,2,7367,8," Cubism "," Cubism "
"Ways of Looking","1971-07-28","1971-11-01","Georges Braque","French",96,1971,1,7367,8," Fauvism "," Fauvism "
"Ways of Looking","1971-07-28","1971-11-01","Georges Braque","French",96,1971,1,7367,8," Cubism "," Cubism "
"Modern Drawings","1944-02-16","1944-05-10","Georges Braque","French",84,1944,3,7367,8," Fauvism "," Fauvism "
"Modern Drawings","1944-02-16","1944-05-10","Georges Braque","French",84,1944,3,7367,8," Cubism "," Cubism "
"Recent Acquisitions","1945-02-15","1945-03-18","Georges Braque","French",31,1945,3,7367,8," Fauvism "," Fauvism "
"Recent Acquisitions","1945-02-15","1945-03-18","Georges Braque","French",31,1945,3,7367,8," Cubism "," Cubism "
"Recent Acquisitions in Painting and Sculpture","1946-02-06","1946-02-24","Georges Braque","French",18,1946,4,7367,8," Fauvism "," Fauvism "
"Recent Acquisitions in Painting and Sculpture","1946-02-06","1946-02-24","Georges Braque","French",18,1946,4,7367,8," Cubism "," Cubism "
